,Zone,Année,Population,sous_nutrition,Année médiane,ratio_sous_nutrition_mondiale,Pourcentage_Sous_Nutrition,Proportion_sous_nutrition_par pays
174,Slovénie,2017-01-01,2076393.9999999998,0.0,2017-01-01,7.1,0.0,0.0
149,Qatar,2017-01-01,2724728.0,0.0,2017-01-01,7.1,0.0,0.0
172,Singapour,2017-01-01,5708041.0,0.0,2017-01-01,7.1,0.0,0.0
150,République arabe syrienne,2017-01-01,17095678.0,0.0,2017-01-01,7.1,0.0,0.0
151,République centrafricaine,2017-01-01,4596023.0,0.0,2017-01-01,7.1,0.0,0.0
152,République de Corée,2017-01-01,51096415.0,0.0,2017-01-01,7.1,0.0,0.0
153,République de Moldova,2017-01-01,4059684.0,0.0,2017-01-01,7.1,0.0,0.0
154,République démocratique du Congo,2017-01-01,81398764.00000001,0.0,2017-01-01,7.1,0.0,0.0
155,République démocratique populaire lao,2017-01-01,6953035.0,0.0,2017-01-01,7.1,0.0,0.0
159,Roumanie,2017-01-01,19653969.0,0.0,2017-01-01,7.1,0.0,0.0
160,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2017-01-01,66727460.99999999,0.0,2017-01-01,7.1,0.0,0.0
162,Sainte-Lucie,2017-01-01,180954.0,0.0,2017-01-01,7.1,0.0,0.0
131,Nouvelle-Calédonie,2017-01-01,277150.0,0.0,2017-01-01,7.1,0.0,0.0
164,Saint-Vincent-et-les Grenadines,2017-01-01,109827.0,0.0,2017-01-01,7.1,0.0,0.0
165,Samoa,2017-01-01,195352.0,0.0,2017-01-01,7.1,0.0,0.0
166,Samoa américaines,2017-01-01,55620.0,0.0,2017-01-01,7.1,0.0,0.0
167,Sao Tomé-et-Principe,2017-01-01,207089.00000000003,0.0,2017-01-01,7.1,0.0,0.0
170,Seychelles,2017-01-01,96418.0,0.0,2017-01-01,7.1,0.0,0.0
132,Nouvelle-Zélande,2017-01-01,4702034.000000002,0.0,2017-01-01,7.1,0.0,0.0
101,Lettonie,2017-01-01,1951097.0,0.0,2017-01-01,7.1,0.0,0.0
130,Norvège,2017-01-01,5296326.0,0.0,2017-01-01,7.1,0.0,0.0
129,Nioué,2017-01-01,1609.0,0.0,2017-01-01,7.1,0.0,0.0
31,Burundi,2017-01-01,10827018.999999998,0.0,2017-01-01,7.1,0.0,0.0
32,Cabo Verde,2017-01-01,537498.0,0.0,2017-01-01,7.1,0.0,0.0
35,Canada,2017-01-01,36732095.0,0.0,2017-01-01,7.1,0.0,0.0
37,Chine - RAS de Hong-Kong,2017-01-01,7306321.999999999,0.0,2017-01-01,7.1,0.0,0.0
38,Chine - RAS de Macao,2017-01-01,622585.0,0.0,2017-01-01,7.1,0.0,0.0
39,"Chine, continentale",2017-01-01,1421021791.0,0.0,2017-01-01,7.1,0.0,0.0
41,Chypre,2017-01-01,1179678.0,0.0,2017-01-01,7.1,0.0,0.0
43,Comores,2017-01-01,813891.9999999998,0.0,2017-01-01,7.1,0.0,0.0
47,Croatie,2017-01-01,4182857.0,0.0,2017-01-01,7.1,0.0,0.0
48,Cuba,2017-01-01,11339254.0,0.0,2017-01-01,7.1,0.0,0.0
49,Danemark,2017-01-01,5732274.0,0.0,2017-01-01,7.1,0.0,0.0
50,Djibouti,2017-01-01,944099.0,0.0,2017-01-01,7.1,0.0,0.0
51,Dominique,2017-01-01,71458.0,0.0,2017-01-01,7.1,0.0,0.0
56,Érythrée,2017-01-01,3412893.0,0.0,2017-01-01,7.1,0.0,0.0
57,Espagne,2017-01-01,46647428.0,0.0,2017-01-01,7.1,0.0,0.0
28,Brunéi Darussalam,2017-01-01,424473.0,0.0,2017-01-01,7.1,0.0,0.0
27,Brésil,2017-01-01,207833823.0,0.0,2017-01-01,7.1,0.0,0.0
25,Bosnie-Herzégovine,2017-01-01,3351525.0,0.0,2017-01-01,7.1,0.0,0.0
13,Azerbaïdjan,2017-01-01,9845320.0,0.0,2017-01-01,7.1,0.0,0.0
4,Allemagne,2017-01-01,82658409.0,0.0,2017-01-01,7.1,0.0,0.0
5,Andorre,2017-01-01,77001.0,0.0,2017-01-01,7.1,0.0,0.0
7,Antigua-et-Barbuda,2017-01-01,95426.0,0.0,2017-01-01,7.1,0.0,0.0
10,Arménie,2017-01-01,2944791.0,0.0,2017-01-01,7.1,0.0,0.0
11,Australie,2017-01-01,24584620.0,0.0,2017-01-01,7.1,0.0,0.0
12,Autriche,2017-01-01,8819901.0,0.0,2017-01-01,7.1,0.0,0.0
14,Bahamas,2017-01-01,381755.0,0.0,2017-01-01,7.1,0.0,0.0
23,Bhoutan,2017-01-01,745563.0,0.0,2017-01-01,7.1,0.0,0.0
15,Bahreïn,2017-01-01,1494076.0,0.0,2017-01-01,7.1,0.0,0.0
17,Barbade,2017-01-01,286232.0,0.0,2017-01-01,7.1,0.0,0.0
18,Bélarus,2017-01-01,9450231.0,0.0,2017-01-01,7.1,0.0,0.0
19,Belgique,2017-01-01,11419748.0,0.0,2017-01-01,7.1,0.0,0.0
20,Belize,2017-01-01,375769.0,0.0,2017-01-01,7.1,0.0,0.0
22,Bermudes,2017-01-01,63049.0,0.0,2017-01-01,7.1,0.0,0.0
58,Estonie,2017-01-01,1319390.0,0.0,2017-01-01,7.1,0.0,0.0
