Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","191","Croatie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","56323.840388","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","192","Cuba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","96851","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","531","Curaçao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3009.497207","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","208","Danemark","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","332121.063806","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","262","Djibouti","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2766.868072","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","212","Dominique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","520.7","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","818","Égypte","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","195135.299313","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","222","El Salvador","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","24979.19","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","784","Émirats arabes unis","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","385605.506855","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","218","Équateur","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","104295.862","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","232","Érythrée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1903.966833","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","724","Espagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1313245.330198","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","233","Estonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","26924.385103","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","748","Eswatini","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4401.526105","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","840","États-Unis d'Amérique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","19477337","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","231","Éthiopie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","76794.68609","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","643","Fédération de Russie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1574199.379405","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","242","Fidji","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5353.491805","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","246","Finlande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","255647.979916","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","250","France","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2595151.045198","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","266","Gabon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","14929.646484","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","270","Gambie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1504.954335","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","268","Géorgie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","16242.687078","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","288","Ghana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","60403.027568","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","300","Grèce","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","199844.41844","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","308","Grenade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1125.685977","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","304","Groenland","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2851.613478","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","320","Guatemala","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","71653.756545","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","324","Guinée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","10324.668257","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","226","Guinée équatoriale","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12200.908721","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","624","Guinée-Bissau","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1350.177012","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","328","Guyana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4748.174334","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","332","Haïti","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","15237.360994","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","340","Honduras","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","23136.248046","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","348","Hongrie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","143112.19604","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","136","Îles Caïmanes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5166.281305","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","184","Îles Cook","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","345.608995","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","584","Îles Marshall","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","213.06163","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","090","Îles Salomon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1469.790453","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","796","Îles Turques-et-Caïques","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1022.365","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","092","Îles Vierges britanniques","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1306.77","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","356","Inde","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2624329.044214","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","360","Indonésie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1015618.744168","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","364","Iran (République islamique d')","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","503710.010469","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","368","Iraq","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","187217.652027","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","372","Irlande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","336377.500161","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","352","Islande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","24728.285177","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","376","Israël","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","355277.447952","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","380","Italie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1961796.197354","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","388","Jamaïque","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","14808.985267","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","392","Japon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4930837.369151","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","400","Jordanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","41408.450704","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","398","Kazakhstan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","166805.788967","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","404","Kenya","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","82035.78793","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","417","Kirghizistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","7702.938395","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","296","Kiribati","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","188.182032","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","414","Koweït","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","120687.635293","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","426","Lesotho","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2305.01501","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","428","Lettonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","30483.806018","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","422","Liban","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","53027.680686","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","430","Libéria","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2763","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","434","Libye","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","67157.45166","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","438","Liechtenstein","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","6474.31091","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","440","Lituanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","47758.736932","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","442","Luxembourg","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","65712.180343","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","807","Macédoine du Nord","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","11307.06119","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","450","Madagascar","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13176.313594","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","458","Malaisie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","319109.103242","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","454","Malawi","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","8943.543794","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","462","Maldives","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4754.185598","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","466","Mali","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","15365.713059","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","470","Malte","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13484.552331","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","504","Maroc","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","118540.574728","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","480","Maurice","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13713.505998","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","478","Mauritanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","6800.135962","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","484","Mexique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1158912.015259","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","583","Micronésie (États fédérés de)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","366.666809","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","492","Monaco","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","6431.276067","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","496","Mongolie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","11480.847571","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","499","Monténégro","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4856.612346","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","500","Montserrat","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","59.666667","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","508","Mozambique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13219.079497","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","104","Myanmar","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","68209.182343","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","516","Namibie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12887.501268","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","520","Nauru","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","128.743386","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","524","Népal","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","29443.014181","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","558","Nicaragua","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13785.892849","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","562","Niger","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","11185.105961","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","566","Nigéria","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","375744.658045","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","578","Norvège","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","398393.955269","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","540","Nouvelle-Calédonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","9174.048669","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","554","Nouvelle-Zélande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","206623.7588","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","512","Oman","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","80856.575503","X","Ciffre de sources internationales",""
