Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","107.497139","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","144.841924","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","149.728158","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","152.171275","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","151.822258","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","150.077175","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","148.215752","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","147.40138","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","147.983074","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","149.728158","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7001","Janvier","6121","Valeur","%","6.855657","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7002","Février","6121","Valeur","%","7.248144","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7003","Mars","6121","Valeur","%","7.091977","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7004","Avril","6121","Valeur","%","5.803252","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7005","Mai","6121","Valeur","%","4.249248","E","Valeur estimée",""
