Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","340","Honduras","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.083","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","348","Hongrie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.805","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","136","Îles Caïmanes","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.585","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","796","Îles Turques-et-Caïques","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.645","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","092","Îles Vierges britanniques","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.828","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","356","Inde","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.892","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","360","Indonésie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.929","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","364","Iran (République islamique d')","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.704","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","368","Iraq","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.999","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","372","Irlande","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.523","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","352","Islande","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.596","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","376","Israël","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.842","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","380","Italie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.778","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","388","Jamaïque","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.144","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","392","Japon","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.887","E","Valeur estimée"
