Zone,Disponibilité en kg,Exportations en kg,Importation en kg,Production en kg,population_2017,proportion_ss_nutrition_2017,indice_stabilite_politique_2017,inflation_food_price_2017,Valeur US $ par habitant,TAS,TDI,Consommation_moyenne_poulet_en_kg
Sainte-Lucie,11000000.0,1520.0,10000000.0,1000000.0,180954.0,0.0,0.99,46.96492258333333,11270.8092,90.92165462863959,-151990.9090909091,60.78892978325983
Samoa,15000000.0,0.0,17000000.0,0.0,195352.0,0.0,1.18,54.344403625000005,4246.467778,100.0,0.0,87.02240058970474
Serbie,90000000.0,7000000.0,12000000.0,85000000.0,8829628.0,4.53,0.09,53.13267008333333,5918.256598,13.333333333333334,-699999912.371134,10.985740282603071
Slovaquie,74000000.0,35000000.0,63000000.0,71000000.0,5447900.0,5.51,0.91,52.52887875,17584.598912,63.63636363636363,-3499999947.0149255,24.59663356522697
Slovénie,52000000.0,29000000.0,20000000.0,72000000.0,2076394.0,0.0,0.87,52.6955865,23155.397106,31.746031746031743,-2899999921.7391305,44.30758324287202
Sri Lanka,192000000.0,2000000.0,0.0,192000000.0,21128032.0,7.57,-0.07,63.086463916666666,4065.135897,0.0,-199999900.0,9.08745310495554
Suisse,133000000.0,4000000.0,51000000.0,91000000.0,8455804.0,0.0,1.26,50.612908833333336,83353.597567,36.95652173913043,-399999935.91549295,16.793199085503876
Suriname,25000000.0,5000000.0,18000000.0,10000000.0,570496.0,0.0,0.13,115.00915058333334,5774.654844,78.26086956521739,-499999964.28571427,49.080098721112854
Suède,187000000.0,23000000.0,84000000.0,157000000.0,9904896.0,0.0,0.98,52.68162029166666,53788.877499,38.53211009174312,-2299999934.854772,24.331401359489288
Sénégal,77000000.0,0.0,0.0,77000000.0,15419355.0,9.73,-0.05,53.38195295833333,1385.199669,0.0,100.0,4.993723797136781
Tadjikistan,40000000.0,30.0,38000000.0,2000000.0,8880268.0,0.0,-0.67,62.05578258333333,844.36525,95.00007125005344,-2995.0,4.50436856184971
Tchéquie,249000000.0,27000000.0,116000000.0,163000000.0,10641034.0,0.0,1.0,54.68423154166666,20759.909712,46.03174603174603,-2699999941.5770607,26.219256512102113
Trinité-et-Tobago,76000000.0,0.0,23000000.0,61000000.0,1384059.0,0.0,0.28,56.79097708333333,16094.666782,27.380952380952383,72.61904761904762,60.69105435534179
Tunisie,195000000.0,4000000.0,0.0,213000000.0,11433443.0,0.0,-1.02,57.06724029166667,3569.718839,0.0,-399999900.0,18.62955891764187
Ukraine,1009000000.0,273000000.0,121000000.0,1211000000.0,44487709.0,3.37,-1.87,68.18729841666666,2510.017662,11.425873465533522,-27299999909.084084,29.940854000820767
Uruguay,33000000.0,3000000.0,3000000.0,33000000.0,3436641.0,0.0,1.05,57.79091775,18769.787523,9.090909090909092,-299999908.3333334,10.475344966203918
Viet Nam,1206000000.0,1000000.0,291000000.0,918000000.0,94600648.0,6.87,0.23,50.092969625,2992.071534,24.089403973509935,-99999924.06947891,12.780039307975988
Yémen,246000000.0,0.0,78000000.0,168000000.0,27834819.0,0.0,-2.94,66.29015208333333,612.353054,31.70731707317073,68.29268292682927,8.837851613118088
Zambie,60000000.0,1000000.0,12000000.0,49000000.0,16853599.0,0.0,0.15,67.17952591666666,1495.437665,20.0,-99999919.67213114,3.6194049710094562
Égypte,1250000000.0,1000000.0,110000000.0,1118000000.0,96442591.0,4.77,-1.42,100.39523370833332,1917.049576,8.964955175224123,-99999908.95765473,12.732963592817617
Émirats arabes unis,412000000.0,94000000.0,433000000.0,48000000.0,9487203.0,3.16,0.62,51.73203670833333,42522.377617,111.88630490956074,-9399999990.02079,50.699874346527636
Équateur,341000000.0,0.0,0.0,340000000.0,16785361.0,8.94,-0.07,51.77542016666666,6246.404252,0.0,100.0,20.255745467732268
Îles Salomon,3000000.0,0.0,6000000.0,0.0,636039.0,0.0,0.2,49.60883616666666,2283.581124,100.0,0.0,9.433383801936674
